StationCode,LongName,Number,Type,OperatingCompany,Destination,PlannedDepartureTime,Delay
ZDK,Zaandam Kogerveld,3384,Sprinter,NS,HNK,2016-12-06T23:01:00Z,PT0S
ZDK,Zaandam Kogerveld,3384,Sprinter,NS,HNK,2016-12-06T23:01:00Z,PT0S
VDW,Vlaardingen West,4197,Sprinter,NS,RTD,2016-12-07T00:10:00Z,PT0S
VDW,Vlaardingen West,4197,Sprinter,NS,RTD,2016-12-07T00:10:00Z,PT0S
NSCH,Bad Nieuweschans,37598,Stoptrein,Arriva,GN,2016-12-07T00:10:00Z,PT0S
NSCH,Bad Nieuweschans,37598,Stoptrein,Arriva,GN,2016-12-07T00:10:00Z,PT0S
HLMS,Haarlem Spaarnwoude,314882,Sprinter,NS,ASD,2016-12-07T00:10:00Z,PT0S
HLMS,Haarlem Spaarnwoude,314882,Sprinter,NS,ASD,2016-12-07T00:10:00Z,PT0S
MG,Mantgum,37092,Stoptrein,Arriva,LW,2016-12-06T22:58:00Z,PT0S
MG,Mantgum,37092,Stoptrein,Arriva,LW,2016-12-06T22:58:00Z,PT0S
ZD,Zaandam,4093,Sprinter,NS,ASD,2016-12-06T23:00:00Z,PT0S
ZD,Zaandam,4093,Sprinter,NS,ASD,2016-12-06T23:00:00Z,PT0S
DZW,Delfzijl West,37777,Stoptrein,Arriva,DZ,2016-12-06T23:00:00Z,PT0S
DZW,Delfzijl West,37777,Stoptrein,Arriva,DZ,2016-12-06T23:00:00Z,PT0S
GO,Goor,31281,Stoptrein,Syntus,ODZ,2016-12-06T23:00:00Z,PT2M13S
GO,Goor,31281,Stoptrein,Syntus,ODZ,2016-12-06T23:00:00Z,PT2M13S
GO,Goor,31281,Stoptrein,Syntus,ODZ,2016-12-06T23:00:00Z,PT1M56S
GO,Goor,31281,Stoptrein,Syntus,ODZ,2016-12-06T23:00:00Z,PT1M56S
ZH,Zuidhorn,37477,Stoptrein,Arriva,GN,2016-12-06T23:00:00Z,PT1M21S
ZH,Zuidhorn,37477,Stoptrein,Arriva,GN,2016-12-06T23:00:00Z,PT1M21S
CO,Coevorden,3879,Sneltrein,Arriva,EMN,2016-12-06T23:00:00Z,PT0S
CO,Coevorden,3879,Sneltrein,Arriva,EMN,2016-12-06T23:00:00Z,PT0S
GR,Gorinchem,36784,Stoptrein,Arriva,DDR,2016-12-06T23:06:00Z,PT0S
GR,Gorinchem,36784,Stoptrein,Arriva,DDR,2016-12-06T23:06:00Z,PT0S
AKL,Arkel,36784,Stoptrein,Arriva,DDR,2016-12-06T22:58:00Z,PT0S
AKL,Arkel,36784,Stoptrein,Arriva,DDR,2016-12-06T22:58:00Z,PT0S
ZD,Zaandam,3391,Sprinter,NS,HFD,2016-12-06T23:02:00Z,PT0S
ZD,Zaandam,3391,Sprinter,NS,HFD,2016-12-06T23:02:00Z,PT0S
HDRZ,Den Helder Zuid,4095,Sprinter,NS,ASD,2016-12-06T22:59:00Z,PT1M2S
HDRZ,Den Helder Zuid,4095,Sprinter,NS,ASD,2016-12-06T22:59:00Z,PT1M2S
HDRZ,Den Helder Zuid,4095,Sprinter,NS,ASD,2016-12-06T22:59:00Z,PT1M2S
HDRZ,Den Helder Zuid,4095,Sprinter,NS,ASD,2016-12-06T22:59:00Z,PT1M2S
DT,Delft,15191,Sprinter,NS,DDR,2016-12-06T22:59:00Z,PT0S
DT,Delft,15191,Sprinter,NS,DDR,2016-12-06T22:59:00Z,PT0S
HIL,Hillegom,6395,Sprinter,NS,LEDN,2016-12-06T23:00:00Z,PT1M14S
HIL,Hillegom,6395,Sprinter,NS,LEDN,2016-12-06T23:00:00Z,PT1M14S
ZL,Zwolle,4688,Sprinter,NS,LLS,2016-12-06T22:55:00Z,PT3M
ZL,Zwolle,4688,Sprinter,NS,LLS,2016-12-06T22:55:00Z,PT3M
MRN,Maarn,7487,Sprinter,NS,RHN,2016-12-06T22:59:00Z,PT3M9S
MRN,Maarn,7487,Sprinter,NS,RHN,2016-12-06T22:59:00Z,PT3M9S
VNDW,Veenendaal West,7487,Sprinter,NS,RHN,2016-12-06T23:09:00Z,PT2M21S
VNDW,Veenendaal West,7487,Sprinter,NS,RHN,2016-12-06T23:09:00Z,PT2M21S
VNDC,Veenendaal Centrum,7487,Sprinter,NS,RHN,2016-12-06T23:15:00Z,PT1M7S
VNDC,Veenendaal Centrum,7487,Sprinter,NS,RHN,2016-12-06T23:15:00Z,PT1M7S
UHM,Uithuizermeeden,37677,Stoptrein,Arriva,RD,2016-12-06T23:02:00Z,PT0S
UHM,Uithuizermeeden,37677,Stoptrein,Arriva,RD,2016-12-06T23:02:00Z,PT0S
MRN,Maarn,7487,Sprinter,NS,RHN,2016-12-06T22:59:00Z,PT3M9S
MRN,Maarn,7487,Sprinter,NS,RHN,2016-12-06T22:59:00Z,PT3M9S
LEDN,Leiden Centraal,302691,Intercity,NS,ASD,2016-12-06T22:57:00Z,PT6M49S
LEDN,Leiden Centraal,302691,Intercity,NS,ASD,2016-12-06T22:57:00Z,PT6M49S
HT,'s-Hertogenbosch,4488,Sprinter,NS,NM,2016-12-06T22:59:00Z,PT0S
HT,'s-Hertogenbosch,4488,Sprinter,NS,NM,2016-12-06T22:59:00Z,PT0S
LEDN,Leiden Centraal,302691,Intercity,NS,ASD,2016-12-06T22:57:00Z,PT6M49S
LEDN,Leiden Centraal,302691,Intercity,NS,ASD,2016-12-06T22:57:00Z,PT6M49S
RSN,Rijssen,7090,Sprinter,NS,DV,2016-12-06T23:03:00Z,PT0S
RSN,Rijssen,7090,Sprinter,NS,DV,2016-12-06T23:03:00Z,PT0S
UTO,Utrecht Overvecht,5785,Sprinter,NS,UT,2016-12-06T23:00:00Z,PT0S
UTO,Utrecht Overvecht,5785,Sprinter,NS,UT,2016-12-06T23:00:00Z,PT0S
DVD,Duivendrecht,4091,Sprinter,NS,RTD,2016-12-06T22:59:00Z,PT3M12S
DVD,Duivendrecht,4091,Sprinter,NS,RTD,2016-12-06T22:59:00Z,PT3M12S
PMO,Purmerend Overwhere,1591,Intercity,NS,ASD,2016-12-06T23:01:00Z,PT0S
PMO,Purmerend Overwhere,1591,Intercity,NS,ASD,2016-12-06T23:01:00Z,PT0S
BLL,Bloemendaal,314878,Sprinter,NS,ASD,2016-12-06T22:59:00Z,PT1M31S
BLL,Bloemendaal,314878,Sprinter,NS,ASD,2016-12-06T22:59:00Z,PT1M31S
DMNZ,Diemen Zuid,4382,Sprinter,NS,HFD,2016-12-06T22:59:00Z,PT1M24S
DMNZ,Diemen Zuid,4382,Sprinter,NS,HFD,2016-12-06T22:59:00Z,PT1M24S
DVD,Duivendrecht,4382,Sprinter,NS,HFD,2016-12-06T23:04:00Z,PT1M11S
DVD,Duivendrecht,4382,Sprinter,NS,HFD,2016-12-06T23:04:00Z,PT1M11S
DMNZ,Diemen Zuid,4382,Sprinter,NS,HFD,2016-12-06T22:59:00Z,PT1M24S
DMNZ,Diemen Zuid,4382,Sprinter,NS,HFD,2016-12-06T22:59:00Z,PT1M24S
HWD,Heerhugowaard,303078,Intercity,NS,HDR,2016-12-06T22:58:00Z,PT2M25S
